snapshot	elapsed_hours	participant	doctor_status	peers_status	controlled_members	controlled_messages	healthy	full_controlled_state
20260605T105823Z	37.030	hermes-container	0	0	4	78	True	True
20260605T105823Z	37.030	deimos-openclaw-container	0	0	4	78	True	True
20260605T105823Z	37.030	phobos-pi-hermes	255	255	None	None	False	False
20260605T112914Z	37.544	local-vps	0	0	4	78	True	True
20260605T112914Z	37.544	hermes-container	0	0	4	78	True	True
20260605T112914Z	37.544	deimos-openclaw-container	0	0	4	78	True	True
20260605T112914Z	37.544	phobos-pi-hermes	255	255	None	None	False	False
20260605T115947Z	38.053	local-vps	0	0	4	78	True	True
20260605T115947Z	38.053	hermes-container	0	0	4	78	True	True
20260605T115947Z	38.053	deimos-openclaw-container	0	0	4	78	True	True
20260605T115947Z	38.053	phobos-pi-hermes	255	255	None	None	False	False
20260605T123019Z	38.562	local-vps	0	0	4	78	True	True
20260605T123019Z	38.562	hermes-container	0	0	4	78	True	True
20260605T123019Z	38.562	deimos-openclaw-container	0	0	4	78	True	True
20260605T123019Z	38.562	phobos-pi-hermes	255	255	None	None	False	False
20260605T130107Z	39.075	local-vps	0	0	4	78	True	True
20260605T130107Z	39.075	hermes-container	0	0	4	78	True	True
20260605T130107Z	39.075	deimos-openclaw-container	0	0	4	78	True	True
20260605T130107Z	39.075	phobos-pi-hermes	255	255	None	None	False	False
20260605T133134Z	39.583	local-vps	0	0	4	78	True	True
20260605T133134Z	39.583	hermes-container	0	0	4	78	True	True
20260605T133134Z	39.583	deimos-openclaw-container	0	0	4	78	True	True
20260605T133134Z	39.583	phobos-pi-hermes	255	255	None	None	False	False
20260605T140211Z	40.093	local-vps	0	0	4	78	True	True
20260605T140211Z	40.093	hermes-container	0	0	4	78	True	True
20260605T140211Z	40.093	deimos-openclaw-container	0	0	4	78	True	True
20260605T140211Z	40.093	phobos-pi-hermes	255	255	None	None	False	False
20260605T143240Z	40.601	local-vps	0	0	4	78	True	True
20260605T143240Z	40.601	hermes-container	0	0	4	78	True	True
20260605T143240Z	40.601	deimos-openclaw-container	0	0	4	78	True	True
20260605T143240Z	40.601	phobos-pi-hermes	255	255	None	None	False	False
20260605T150303Z	41.108	local-vps	0	0	4	78	True	True
20260605T150303Z	41.108	hermes-container	0	0	4	78	True	True
20260605T150303Z	41.108	deimos-openclaw-container	0	0	4	78	True	True
20260605T150303Z	41.108	phobos-pi-hermes	255	255	None	None	False	False
20260605T153359Z	41.623	local-vps	0	0	4	78	True	True
20260605T153359Z	41.623	hermes-container	0	0	4	78	True	True
20260605T153359Z	41.623	deimos-openclaw-container	0	0	4	78	True	True
20260605T153359Z	41.623	phobos-pi-hermes	255	255	None	None	False	False
20260605T160423Z	42.130	local-vps	0	0	4	78	True	True
20260605T160423Z	42.130	hermes-container	0	0	4	78	True	True
20260605T160423Z	42.130	deimos-openclaw-container	0	0	4	78	True	True
20260605T160423Z	42.130	phobos-pi-hermes	255	255	None	None	False	False
20260605T163511Z	42.643	local-vps	0	0	4	78	True	True
20260605T163511Z	42.643	hermes-container	0	0	4	78	True	True
20260605T163511Z	42.643	deimos-openclaw-container	0	0	4	78	True	True
20260605T163511Z	42.643	phobos-pi-hermes	255	255	None	None	False	False
20260605T170539Z	43.151	local-vps	0	0	4	78	True	True
20260605T170539Z	43.151	hermes-container	0	0	4	78	True	True
20260605T170539Z	43.151	deimos-openclaw-container	0	0	4	78	True	True
20260605T170539Z	43.151	phobos-pi-hermes	255	255	None	None	False	False
20260605T173602Z	43.657	local-vps	0	0	4	78	True	True
20260605T173602Z	43.657	hermes-container	0	0	4	78	True	True
20260605T173602Z	43.657	deimos-openclaw-container	0	0	4	78	True	True
20260605T173602Z	43.657	phobos-pi-hermes	255	255	None	None	False	False
20260605T180656Z	44.172	local-vps	0	0	4	78	True	True
20260605T180656Z	44.172	hermes-container	0	0	4	78	True	True
20260605T180656Z	44.172	deimos-openclaw-container	0	0	4	78	True	True
20260605T180656Z	44.172	phobos-pi-hermes	255	255	None	None	False	False
20260605T183727Z	44.681	local-vps	0	0	4	78	True	True
20260605T183727Z	44.681	hermes-container	0	0	4	78	True	True
20260605T183727Z	44.681	deimos-openclaw-container	0	0	4	78	True	True
20260605T183727Z	44.681	phobos-pi-hermes	255	255	None	None	False	False
20260605T190817Z	45.195	local-vps	0	0	4	78	True	True
20260605T190817Z	45.195	hermes-container	0	0	4	78	True	True
20260605T190817Z	45.195	deimos-openclaw-container	0	0	4	78	True	True
20260605T190817Z	45.195	phobos-pi-hermes	255	255	None	None	False	False
20260605T193840Z	45.701	local-vps	0	0	4	78	True	True
20260605T193840Z	45.701	hermes-container	0	0	4	78	True	True
20260605T193840Z	45.701	deimos-openclaw-container	0	0	4	78	True	True
20260605T193840Z	45.701	phobos-pi-hermes	255	255	None	None	False	False
20260605T200937Z	46.217	local-vps	0	0	4	78	True	True
20260605T200937Z	46.217	hermes-container	0	0	4	78	True	True
20260605T200937Z	46.217	deimos-openclaw-container	0	0	4	78	True	True
20260605T200937Z	46.217	phobos-pi-hermes	255	255	None	None	False	False
20260605T204015Z	46.727	local-vps	0	0	4	78	True	True
20260605T204015Z	46.727	hermes-container	0	0	4	78	True	True
20260605T204015Z	46.727	deimos-openclaw-container	0	0	4	78	True	True
20260605T204015Z	46.727	phobos-pi-hermes	255	255	None	None	False	False
20260605T211107Z	47.242	local-vps	0	0	4	78	True	True
